Zip,Unemp. Rate,# in sample
74571,14%,3019
74572,1%,496
74574,7%,1023
74576,0%,128
74577,10%,260
74578,5%,5271
74601,9%,15171
74604,4%,10212
74630,2%,498
74631,5%,5907
74632,7%,430
74633,9%,444
74636,10%,131
74637,8%,1957
74640,0%,258
74641,5%,498
74643,12%,423
74644,4%,356
74646,0%,323
74647,5%,2879
74650,4%,562
74651,12%,559
74652,6%,567
74653,5%,2937
74701,7%,17049
74720,7%,464
74722,0%,193
74723,6%,1087
74724,2%,248
74726,6%,1683
74727,7%,1576
74728,9%,8481
74729,9%,2423
74730,6%,3388
74731,7%,1595
74733,2%,1930
74734,7%,897
74735,16%,1331
74736,9%,876
74738,18%,637
74740,12%,1970
74741,0%,809
74743,10%,6242
74745,7%,7308
74747,0%,122
74748,21%,372
74750,5%,320
74753,,0
74754,23%,131
74755,0%,48
74756,11%,728
74759,8%,1126
74760,0%,218
74761,0%,68
74764,16%,3194
74766,13%,1128
74801,7%,16570
74804,5%,15930
74820,5%,24313
74824,7%,1011
74825,5%,1741
74826,1%,884
74827,0%,449
74829,6%,1354
74830,6%,245
74831,3%,708
74832,2%,774
74833,11%,451
74834,8%,5382
74836,6%,110
74837,5%,402
74839,4%,511
74840,4%,1295
74842,0%,117
74843,0%,245
74844,6%,213
74845,12%,519
74848,9%,6459
74849,5%,2392
74850,10%,343
74851,5%,7923
74852,4%,1360
74854,3%,1418
74855,2%,4152
74856,8%,640
74857,7%,6444
74859,6%,4912
74860,7%,1542
74864,6%,3835
74865,6%,1439
74867,8%,845
74868,6%,9557
74869,7%,555
74871,1%,1675
74872,9%,2847
74873,5%,9072
74875,9%,870
74878,5%,1100
74880,11%,1664
74881,5%,3215
74883,9%,2108
74884,15%,4616
74901,8%,1700
74902,7%,3180
74930,12%,1545
74931,6%,1376
74932,10%,2023
74935,20%,88
74936,5%,1231
74937,7%,3955
74939,5%,1445
74940,11%,2162
74941,8%,1937
74942,7%,153
74943,0%,95
74944,12%,974
74945,6%,465
74946,15%,133
74948,11%,9391
74949,2%,203
74951,6%,1334
74953,7%,9186
74954,11%,3750
74955,6%,11438
74956,7%,1597
74957,7%,745
74959,11%,5004
74960,4%,9683
74962,13%,4257
74963,16%,515
74964,9%,1949
74965,9%,4238
74966,7%,2927
75001,3%,10390
75002,4%,43923
75006,5%,35273
75007,5%,39816
75009,2%,6187
75010,4%,17524
75013,4%,19375
75019,3%,28383
75020,6%,17925
75021,4%,6758
75022,2%,14806
75023,6%,35983
75024,3%,27124
75025,4%,37675
75028,5%,30482
75032,4%,20573
75034,3%,46099
75035,3%,31836
75038,7%,21242
75039,2%,8433
75040,8%,43256
75041,8%,21279
75042,10%,27288
75043,8%,43944
75044,6%,32754
75048,4%,14399
75050,6%,29970
75051,10%,27266
75052,7%,63336
75054,5%,2737
75056,5%,34979
75057,6%,10019
75058,5%,2228
75060,10%,32926
75061,8%,37998
75062,7%,34470
75063,4%,27442
75065,7%,7930
75067,4%,45483
75068,7%,22081
75069,6%,25400
75070,3%,50171
75071,4%,25273
75074,4%,32561
75075,4%,27286
75076,9%,5789
75077,5%,27796
75078,3%,6409
75080,6%,35491
75081,6%,27211
75082,3%,16098
75087,4%,20570
75088,6%,19210
75089,3%,21110
75090,11%,17389
75092,6%,18557
75093,4%,37426
75094,5%,13230
75098,4%,31384
75101,4%,484
75102,4%,829
75103,7%,11204
75104,7%,32247
75105,0%,245
75109,7%,3201
75110,8%,21072
75114,7%,3298
75115,7%,36868
75116,6%,14438
75117,7%,2470
75119,7%,19173
75124,8%,3029
75125,6%,5035
75126,5%,21222
75127,4%,1250
75132,13%,217
75134,11%,14183
75135,7%,3926
75137,4%,14652
75140,6%,5962
75141,5%,3659
75142,7%,14174
75143,11%,12216
75144,6%,2579
75146,6%,12381
75147,12%,5960
75148,9%,5350
75149,6%,41105
75150,7%,43450
75152,7%,3501
75153,0%,569
75154,6%,25285
75155,7%,1878
75156,8%,12521
75157,12%,367
75158,6%,3700
75159,4%,13967
75160,7%,17175
75161,6%,5389
75163,11%,1614
75164,11%,363
75165,6%,27924
75166,2%,2286
75167,4%,6780
75169,6%,11453
75172,4%,2918
75173,5%,3712
75180,6%,15713
75181,4%,18372
75182,2%,3988
75189,3%,14448
75201,2%,7916
75202,3%,1999
75203,8%,12298
75204,6%,22574
75205,5%,18939
75206,5%,32177
75207,5%,9631
75208,6%,22749
75209,5%,11708
75210,14%,4783
75211,7%,50104
75212,14%,17100
75214,3%,26225
75215,19%,11625
75216,12%,34669
75217,13%,56499
75218,4%,18557
75219,6%,18159
75220,8%,31145
75223,9%,9575
75224,6%,24184
75225,4%,15396
75226,5%,2579
75227,10%,38757
75228,9%,49062
75229,7%,25282
75230,5%,21597
75231,3%,25763
75232,11%,21036
75233,8%,10504
75234,7%,22430
75235,7%,13572
75236,8%,10422
75237,10%,11862
75238,3%,22317
75240,8%,17905
75241,12%,21392
75243,5%,41409
75244,4%,10593
75246,5%,2481
75247,45%,447
75248,6%,28859
75249,7%,8953
75251,1%,2399
75252,6%,20717
75253,5%,11912
75254,8%,19552
75270,,0
75287,6%,41505
75390,,0
75401,6%,13609
75402,4%,12295
75407,5%,10788
75409,5%,8347
75410,4%,3182
75411,10%,926
75412,2%,751
75413,17%,201
75414,4%,2498
75415,0%,202
75416,4%,2606
75417,4%,2029
75418,7%,11252
75420,5%,711
75421,2%,788
75422,4%,2196
75423,13%,2350
75424,10%,2495
75426,8%,3899
75428,15%,8059
75431,9%,1555
75432,5%,2455
75433,5%,2111
75435,5%,1053
75436,6%,1511
75437,4%,979
75438,5%,858
75439,3%,635
75440,6%,5568
75441,0%,154
75442,5%,7271
75446,9%,2421
75447,1%,768
75448,0%,458
75449,7%,1004
75450,0%,269
75451,0%,771
75452,5%,3459
75453,11%,2344
75454,4%,3233
75455,6%,20113
75457,9%,4741
75459,5%,3274
75460,8%,18635
75462,4%,8669
75468,6%,788
75469,13%,469
75470,15%,79
75471,8%,992
75472,11%,2997
75473,2%,3116
75474,11%,11850
75475,0%,126
75476,7%,1302
75477,8%,620
75478,4%,892
75479,8%,1691
75480,11%,1783
75481,3%,386
75482,7%,18878
75486,4%,1599
75487,5%,922
75488,7%,713
75489,4%,726
75490,11%,1960
75491,6%,3416
75492,10%,471
75493,0%,420
75494,8%,8421
75495,5%,5228
75496,6%,2681
75497,4%,2644
75501,10%,29275
75503,8%,18751
75550,8%,826
75551,6%,8590
75554,3%,1516
75555,5%,1349
75556,8%,824
75558,1%,912
75559,8%,4786
75560,17%,783
75561,3%,4247
75562,0%,257
75563,10%,3934
75565,9%,272
75566,16%,768
75567,7%,3145
75568,5%,2135
75569,7%,2108
75570,9%,7663
75571,7%,2669
75572,6%,2621
75573,0%,173
75574,10%,1701
75601,5%,12809
75602,11%,16917
75603,7%,4655
75604,5%,22767
75605,4%,21657
75630,8%,2686
75631,3%,1926
75633,6%,11478
75638,9%,4596
75639,5%,2173
75640,9%,2932
75641,0%,170
75642,0%,212
75643,5%,1663
75644,7%,8706
75645,6%,8430
75647,5%,10869
75650,2%,6410
75651,8%,1597
75652,3%,13697
75654,5%,9646
75656,11%,3422
75657,7%,6242
75661,3%,1780
75662,3%,18345
75667,3%,886
75668,10%,1610
75669,8%,615
75670,7%,14596
75672,8%,12789
75681,4%,1682
75682,10%,426
75683,6%,3046
75684,5%,5862
75686,8%,10078
75691,1%,3216
75692,5%,3929
75693,6%,5308
75701,5%,27659
75702,10%,19512
75703,6%,29415
75704,7%,5928
75705,14%,1719
75706,11%,6720
75707,6%,10593
75708,10%,5158
75709,9%,4051
75750,6%,2478
75751,6%,13300
75752,5%,5123
75754,5%,4099
75755,7%,3854
75756,7%,2819
75757,6%,7948
75758,8%,6231
75759,8%,117
75760,6%,1809
75762,3%,9928
75763,6%,6064
75764,0%,68
75765,5%,6963
75766,5%,19624
75770,3%,2479
75771,5%,13537
75773,5%,9779
75778,5%,3166
75779,0%,99
75780,8%,54
75783,5%,5964
75784,5%,390
75785,6%,8679
75788,18%,122
75789,9%,5327
75790,8%,2752
75791,4%,9508
75792,3%,2479
75801,6%,13480
75803,7%,20641
75831,5%,4561
75832,0%,38
75833,6%,2627
75835,8%,10654
75838,0%,314
75839,11%,4710
75840,6%,5405
75844,5%,4639
75845,6%,2957
75846,7%,2217
75847,5%,1500
75848,6%,109
75849,6%,215
75850,2%,659
75851,5%,3115
75852,1%,3927
75853,12%,1215
75855,6%,1801
75856,0%,242
75858,0%,38
75859,10%,1551
75860,7%,5338
75861,3%,3518
75862,4%,7287
75901,7%,22560
75904,6%,25807
75925,5%,3608
75926,3%,1108
75928,25%,779
75929,2%,1476
75930,13%,1547
75931,0%,2039
75932,13%,1567
75933,6%,941
75934,0%,58
75935,5%,10547
75936,5%,750
75937,2%,701
75938,5%,1788
75939,10%,3199
75941,5%,6661
75942,22%,171
75943,6%,991
75944,9%,1104
75946,2%,2657
75948,1%,5057
75949,6%,5671
75951,9%,12189
75954,11%,2145
75956,8%,6481
75959,4%,802
75960,3%,596
75961,7%,11301
75962,25%,3594
75964,7%,14253
75965,5%,14845
75966,11%,3971
75968,17%,1554
75969,2%,2687
75972,15%,5310
75973,4%,2189
75974,6%,2329
75975,8%,2780
75976,9%,650
75977,14%,672
75978,0%,92
75979,11%,9322
75980,17%,2209
76001,5%,22360
76002,6%,20327
76006,6%,18821
76008,3%,9858
76009,8%,14999
76010,10%,36584
76011,9%,17220
76012,7%,20020
76013,7%,26711
76014,9%,23561
76015,8%,12292
76016,5%,25059
76017,6%,34033
76018,4%,20268
76020,8%,21087
76021,4%,27341
76022,5%,10781
76023,13%,4744
76028,4%,43229
76031,7%,13346
76033,5%,18970
76034,4%,17751
76035,0%,1087
76036,7%,16194
76039,6%,25342
76040,8%,22126
76041,0%,296
76043,0%,5307
76044,9%,2907
76048,7%,17521
76049,4%,20276
76050,5%,4577
76051,4%,36011
76052,3%,10480
76053,7%,21606
76054,4%,9808
76055,8%,2324
76058,7%,12138
76059,7%,3824
76060,5%,5196
76061,0%,151
76063,4%,41839
76064,3%,1046
76065,4%,20415
76066,2%,3036
76067,8%,17666
76070,0%,658
76071,11%,2601
76073,6%,3717
76077,31%,442
76078,10%,5963
76082,6%,13349
76084,8%,6392
76085,2%,6745
76086,5%,15571
76087,4%,17795
76088,4%,8898
76092,4%,18621
76093,5%,2013
76102,13%,7346
76103,12%,11129
76104,16%,11730
76105,14%,14555
76106,9%,24213
76107,6%,20349
76108,5%,28534
76109,4%,17965
76110,9%,23497
76111,9%,14647
76112,11%,29542
76114,9%,18011
76115,9%,13541
76116,8%,37010
76117,7%,22876
76118,9%,10796
76119,11%,29285
76120,9%,11911
76123,5%,21250
76126,5%,15162
76127,0%,1991
76129,31%,2747
76131,6%,18502
76132,5%,20212
76133,6%,35526
76134,8%,16618
76135,8%,16090
76137,4%,40070
76140,8%,18271
76148,6%,18320
76155,6%,2422
76164,8%,13667
76177,7%,2592
76179,6%,32249
76180,6%,26469
76182,4%,21862
76201,10%,26057
76205,9%,14945
76207,7%,7343
76208,4%,14107
76209,8%,19057
76210,5%,29104
76225,5%,2522
76226,5%,12433
76227,4%,14119
76228,5%,871
76230,6%,8150
76233,9%,2542
76234,4%,11597
76238,2%,275
76239,10%,995
76240,6%,20246
76244,3%,36766
76245,3%,1567
76247,7%,8975
76248,4%,24713
76249,6%,5084
76250,0%,714
76251,10%,680
76252,2%,2382
76253,0%,143
76255,5%,4449
76258,2%,4525
76259,8%,3475
76261,6%,226
76262,4%,20450
76263,0%,31
76264,1%,807
76265,3%,1093
76266,4%,10442
76268,11%,109
76270,4%,1343
76271,2%,890
76272,8%,3826
76273,6%,7229
76301,6%,13482
76302,5%,9898
76305,2%,3763
76306,3%,11897
76308,4%,16645
76309,6%,10240
76310,3%,13385
76311,1%,5670
76351,2%,1459
76354,5%,8534
76357,3%,529
76360,2%,3074
76363,0%,295
76364,4%,141
76365,6%,4120
76366,2%,1752
76367,3%,11845
76370,8%,308
76371,8%,1208
76372,3%,759
76373,0%,126
76374,5%,2995
76377,4%,626
76379,1%,530
76380,3%,3235
76384,4%,9921
76388,2%,243
76389,3%,958
76401,4%,20316
76402,27%,1102
76424,3%,7222
76426,5%,8647
76427,3%,796
76429,0%,70
76430,3%,1943
76431,13%,2622
76432,4%,1135
76433,3%,1416
76435,3%,439
76436,0%,80
76437,4%,4710
76442,3%,5948
76443,5%,1416
76444,6%,2800
76445,10%,198
76446,2%,6618
76448,1%,4252
76449,4%,1848
76450,5%,10412
76452,0%,34
76453,4%,835
76454,5%,1407
76455,1%,736
76457,7%,3272
76458,6%,4907
76459,6%,161
76460,0%,531
76462,1%,2289
76463,13%,413
76464,7%,327
76466,0%,168
76469,28%,57
76470,5%,2918
76471,7%,1432
76472,0%,1167
76474,0%,268
76475,5%,960
76476,4%,2347
76481,0%,214
76483,2%,845
76484,13%,931
76486,6%,1331
76487,2%,1457
76490,0%,81
76491,0%,494
76501,6%,13038
76502,4%,25226
76504,3%,17869
76508,,5
76511,6%,1724
76513,6%,25247
76518,8%,1036
76519,0%,493
76520,3%,6024
76522,7%,26184
76523,,0
76524,9%,2029
76525,4%,1067
76527,6%,2909
76528,7%,15840
76530,9%,1934
76531,5%,4221
76534,3%,1471
76537,4%,2468
76538,1%,602
76539,7%,5815
76541,10%,15256
76542,4%,27343
76543,6%,22893
76544,2%,23506
76548,6%,18221
76549,7%,29057
76550,6%,8973
76554,3%,1364
76556,7%,1473
76557,5%,3645
76559,7%,3135
76561,1%,742
76565,0%,15
76566,12%,195
76567,6%,6932
76569,2%,1423
76570,6%,2267
76571,3%,4594
76573,30%,37
76574,10%,13511
76577,7%,2681
76578,3%,1198
76579,3%,3641
76596,,781
76597,,553
76598,,271
76599,,942
76621,4%,1012
76622,0%,818
76623,4%,170
76624,4%,1703
76626,7%,1458
76627,10%,1453
76628,0%,37
76629,12%,1588
76630,1%,1312
76631,4%,486
76632,15%,1362
76633,5%,4034
76634,6%,5733
76635,4%,1080
76636,4%,1265
76637,8%,374
76638,5%,2471
76639,6%,1217
76640,7%,2586
76641,6%,1294
76642,3%,5924
76643,2%,10546
76645,6%,8296
76648,7%,2160
76649,10%,527
76650,0%,58
76651,11%,2400
76652,6%,655
76653,7%,1089
76654,0%,173
76655,1%,6507
76656,3%,1922
76657,3%,6515
76660,6%,291
76661,8%,6985
76664,4%,2596
76665,5%,2089
76666,0%,187
76667,6%,8373
76670,9%,888
76671,10%,1690
76673,7%,1084
76676,3%,454
76678,2%,220
76679,11%,869
76680,12%,215
76681,0%,390
76682,4%,1976
76685,0%,56
76686,0%,195
76687,1%,1432
76689,6%,2639
76690,13%,1065
76691,5%,4753
76692,5%,7420
76693,2%,1397
76701,5%,1024
76704,21%,5633
76705,8%,21955
76706,6%,28342
76707,14%,11753
76708,9%,18181
76710,4%,19356
76711,5%,5876
76712,3%,17723
76798,3%,2018
76801,3%,20186
76802,2%,3981
76820,0%,53
76821,2%,3969
76823,0%,2392
76824,,0
76825,1%,5503
76827,2%,220
76828,0%,221
76831,0%,38
76832,2%,472
76834,7%,4718
76836,0%,60
76837,4%,2795
76841,0%,60
76842,0%,87
76844,4%,2927
76845,9%,174
76848,44%,65
76849,4%,3296
76852,0%,196
76853,6%,1298
76854,0%,175
76856,6%,2946
76857,3%,1630
76858,10%,155
76859,8%,1689
76861,2%,1705
76862,0%,195
76864,7%,544
76865,0%,207
76866,4%,517
76869,0%,32
76870,0%,199
76871,16%,626
76872,0%,667
76873,0%,57
76874,0%,35
76875,0%,453
76877,5%,3594
76878,3%,1499
76882,13%,151
76884,0%,123
76885,0%,108
76887,0%,114
76888,0%,36
76890,2%,714
76901,6%,22300
76903,6%,24347
76904,5%,26028
76905,6%,8759
76908,0%,2020
76930,14%,144
76932,0%,2433
76933,8%,1154
76934,3%,823
76935,1%,1034
76936,3%,2302
76937,0%,23
76939,53%,34
76940,0%,111
76941,4%,1008
76943,7%,2823
76945,7%,1401
76949,0%,12
76950,2%,3278
76951,0%,928
76953,0%,19
76955,,0
76957,,0
76958,3%,190
77002,6%,11386
77003,9%,7836
77004,9%,25234
77005,3%,20321
77006,4%,18725
77007,4%,24794
77008,4%,25397
77009,7%,30135
77010,0%,198
77011,9%,14660
77012,8%,16146
77013,12%,14410
77014,6%,20242
77015,8%,38186
77016,11%,21244
77017,8%,24357
77018,4%,22244
77019,3%,16927
77020,9%,19863
77021,12%,20058
77022,8%,21426
77023,7%,23299
77024,3%,27551
77025,4%,20629
77026,14%,18223
77027,5%,13603
77028,17%,13120
77029,13%,13792
77030,3%,9486
77031,6%,12261
77032,20%,9127
77033,14%,21300
77034,7%,24471
77035,9%,27206
77036,10%,48004
77037,5%,14325
77038,8%,17981
77039,10%,18853
77040,4%,32641
77041,4%,25828
77042,7%,27525
77043,6%,17162
77044,6%,20717
77045,11%,23372
77046,0%,865
77047,7%,15752
77048,16%,11202
77049,8%,19633
77050,7%,3335
77051,16%,11185
77053,6%,22336
77054,6%,18625
77055,4%,31490
77056,4%,15345
77057,6%,32756
77058,7%,14293
77059,2%,14649
77060,7%,29183
77061,9%,18224
77062,4%,19590
77063,5%,28636
77064,4%,32775
77065,3%,27166
77066,4%,23919
77067,8%,19701
77068,5%,7513
77069,3%,12802
77070,4%,34348
77071,7%,19699
77072,8%,42146
77073,5%,24293
77074,7%,26420
77075,8%,26035
77076,8%,22936
77077,5%,42120
77078,11%,10823
77079,5%,23587
77080,7%,34156
77081,8%,32651
77082,5%,36818
77083,6%,52243
77084,4%,68600
77085,8%,11506
77086,8%,18447
77087,10%,27499
77088,9%,36912
77089,5%,37705
77090,10%,23152
77091,11%,17514
77092,8%,25584
77093,9%,29726
77094,3%,6762
77095,4%,47994
77096,7%,25536
77098,4%,10876
77099,8%,34105
77201,,0
77301,7%,22112
77302,6%,11930
77303,8%,12111
77304,4%,16630
77306,7%,8241
77316,5%,11367
77318,6%,10633
77320,4%,30905
77326,,0
77327,9%,15291
77328,10%,10860
77331,14%,5121
77334,0%,137
77335,8%,2193
77336,7%,9227
77338,10%,23383
77339,6%,30093
77340,5%,22380
77342,,586
77345,3%,20244
77346,3%,37610
77350,6%,104
77351,9%,26439
77354,4%,20705
77355,7%,17464
77356,6%,18954
77357,9%,13444
77358,3%,3870
77359,44%,429
77360,14%,4229
77362,4%,3866
77363,5%,2675
77364,7%,2094
77365,7%,18747
77367,0%,135
77368,0%,88
77369,11%,735
77371,12%,6504
77372,10%,9136
77373,5%,39668
77374,0%,259
77375,5%,27147
77376,15%,365
77377,4%,20172
77378,5%,10223
77379,4%,51742
77380,5%,18258
77381,3%,29222
77382,4%,24109
77384,3%,8955
77385,2%,14169
77386,4%,26267
77388,4%,29481
77389,4%,14476
77396,6%,30472
77401,3%,13289
77406,2%,24590
77407,5%,18370
77412,0%,51
77414,11%,18059
77415,0%,64
77417,1%,1807
77418,4%,7382
77419,7%,895
77420,6%,1484
77422,5%,10816
77423,6%,6492
77426,0%,1294
77428,,0
77429,3%,49915
77430,9%,1734
77432,0%,59
77433,4%,30490
77434,12%,3859
77435,1%,3290
77436,,0
77437,6%,12193
77440,,0
77441,2%,3843
77442,0%,619
77443,0%,114
77444,13%,598
77445,7%,9467
77446,5%,4568
77447,4%,8759
77448,0%,529
77449,6%,60383
77450,4%,50015
77451,6%,77
77453,23%,211
77454,0%,245
77455,1%,1601
77456,0%,969
77457,1%,608
77458,0%,441
77459,4%,41056
77460,20%,105
77461,4%,7107
77464,6%,154
77465,7%,5519
77466,2%,624
77467,0%,48
77468,0%,275
77469,4%,24582
77470,0%,236
77471,5%,25594
77473,8%,67
77474,5%,10066
77475,4%,549
77476,0%,274
77477,6%,27049
77478,3%,19324
77479,3%,54403
77480,2%,6720
77481,0%,27
77482,8%,1035
77483,0%,277
77484,3%,8372
77485,3%,2749
77486,3%,5633
77488,6%,11302
77489,7%,25813
77493,5%,16174
77494,3%,38138
77498,3%,37764
77502,7%,25396
77503,11%,17338
77504,8%,17698
77505,5%,17582
77506,11%,25502
77507,,0
77510,11%,11494
77511,6%,35012
77514,5%,3123
77515,6%,22261
77517,5%,4527
77518,8%,5666
77519,11%,1044
77520,11%,27342
77521,7%,34287
77523,4%,12170
77530,11%,21793
77531,5%,11102
77532,5%,18531
77533,12%,657
77534,3%,2336
77535,8%,25096
77536,6%,23475
77538,11%,864
77539,6%,29146
77541,8%,13124
77545,4%,12844
77546,4%,35827
77547,10%,7176
77550,9%,19418
77551,7%,15436
77554,7%,7971
77560,16%,643
77561,0%,59
77562,9%,7935
77563,10%,7153
77564,7%,1333
77565,4%,4745
77566,4%,22280
77568,10%,11344
77571,7%,27562
77573,3%,50943
77575,9%,12397
77577,9%,1121
77578,3%,9276
77580,2%,372
77581,3%,30800
77583,4%,22484
77584,3%,47170
77585,8%,1110
77586,6%,16575
77587,9%,11643
77590,9%,23367
77591,7%,10480
77597,0%,373
77598,4%,18398
77611,4%,6429
77612,2%,6784
77613,0%,680
77614,0%,406
77615,6%,642
77616,0%,826
77617,9%,197
77619,6%,12953
77622,1%,1109
77623,20%,424
77624,1%,1050
77625,7%,6538
77627,5%,16833
77629,4%,456
77630,7%,21624
77632,5%,18667
77640,14%,13185
77642,10%,27873
77650,5%,1443
77651,6%,10112
77655,1%,245
77656,4%,13002
77657,5%,14730
77659,4%,3927
77660,6%,1090
77661,7%,642
77662,7%,20345
77663,16%,806
77664,8%,2599
77665,5%,4216
77701,11%,11569
77702,9%,2006
77703,15%,11414
77705,12%,34585
77706,5%,23702
77707,8%,13054
77708,7%,8178
77713,4%,9091
77801,6%,11191
77802,6%,18955
77803,10%,20951
77807,7%,8312
77808,4%,8679
77830,0%,2123
77831,9%,3051
77833,5%,22458
77835,3%,1864
77836,4%,9460
77837,20%,1439
77840,7%,50689
77845,4%,36998
77853,1%,742
77855,19%,139
77856,5%,3382
77857,9%,757
77859,9%,4827
77861,6%,2197
77864,9%,5220
77865,0%,1073
77867,0%,70
77868,7%,11273
77871,4%,2845
77872,6%,1519
77873,0%,1270
77876,26%,128
77878,5%,333
77879,6%,3515
77880,4%,1306
77901,9%,30727
77904,3%,19080
77905,5%,11181
77950,2%,137
77951,7%,1676
77954,4%,9077
77957,6%,6217
77960,,0
77961,0%,89
77962,4%,2809
77963,3%,4668
77964,6%,6176
77968,2%,2235
77969,0%,118
77970,3%,138
77971,0%,519
77973,,0
77974,10%,373
77975,3%,1427
77976,0%,104
77977,0%,307
77978,14%,581
77979,8%,13110
77982,6%,982
77983,13%,1457
77984,1%,3589
77987,0%,104
77988,13%,519
77990,5%,766
77991,0%,327
77993,0%,201
77994,0%,344
77995,4%,7451
78001,,0
78002,10%,6498
78003,6%,7285
78004,0%,823
78005,0%,248
78006,3%,21345
78007,8%,175
78008,0%,244
78009,7%,5458
78010,2%,2145
78011,7%,1213
78012,11%,314
78013,2%,4600
78014,7%,4094
78015,3%,7148
78016,7%,7724
78017,7%,3861
78019,0%,1043
78021,13%,311
78022,2%,3356
78023,2%,17102
78024,0%,1054
78025,6%,4488
78026,8%,4201
78027,4%,206
78028,5%,31149
78029,,0
78039,5%,1295
78040,9%,29107
78041,7%,33093
78043,5%,28354
78044,0%,295
78045,4%,36791
78046,7%,39314
78050,26%,503
78052,9%,4989
78055,2%,1534
78056,2%,1550
78057,9%,647
78058,11%,816
78059,7%,3609
78060,,0
78061,9%,8667
78063,6%,7443
78064,9%,10662
78065,8%,8621
78066,16%,534
78067,22%,430
78069,17%,4034
78070,4%,11444
78071,3%,3831
78072,7%,477
78073,9%,5387
78075,0%,23
78076,4%,8959
78101,4%,5841
78102,8%,22499
78104,10%,167
78107,0%,94
78108,2%,18648
78109,6%,25803
78112,8%,5398
78113,3%,2063
78114,4%,15372
78116,0%,273
78117,2%,453
78118,3%,3137
78119,4%,6589
78121,4%,8549
78122,39%,214
78123,12%,1678
78124,7%,4340
78125,0%,73
78130,4%,43666
78132,4%,14668
78133,6%,13374
78140,4%,2532
78141,4%,602
78142,0%,130
78143,0%,49
78144,,7
78145,0%,95
78146,9%,530
78147,2%,1636
78148,4%,14908
78150,0%,71
78151,7%,1003
78152,6%,2022
78154,4%,21464
78155,5%,35727
78159,6%,679
78160,7%,3296
78161,15%,417
78162,0%,263
78163,4%,7786
78164,1%,3025
78201,8%,34228
78202,11%,8920
78203,6%,3845
78204,10%,8624
78205,6%,896
78207,13%,41955
78208,8%,2747
78209,4%,31821
78210,8%,28919
78211,9%,23002
78212,6%,23510
78213,6%,31490
78214,11%,18100
78215,12%,1188
78216,4%,30947
78217,6%,25059
78218,8%,23923
78219,13%,10628
78220,9%,12183
78221,10%,26851
78222,6%,14318
78223,8%,36582
78224,10%,13241
78225,6%,10522
78226,15%,5061
78227,8%,31957
78228,6%,41744
78229,4%,22712
78230,6%,32241
78231,1%,6523
78232,5%,29496
78233,6%,32973
78234,1%,5938
78235,5%,560
78236,1%,7787
78237,10%,25813
78238,4%,18782
78239,7%,21366
78240,5%,41310
78242,10%,21869
78243,0%,274
78244,7%,20344
78245,5%,39041
78247,4%,37415
78248,1%,11531
78249,6%,37688
78250,4%,41964
78251,4%,35386
78252,5%,5690
78253,5%,19828
78254,3%,30110
78255,3%,7263
78256,7%,5274
78257,1%,2842
78258,2%,29600
78259,4%,15679
78260,4%,16355
78261,5%,8587
78263,5%,3757
78264,10%,9284
78266,6%,4370
78330,2%,514
78332,6%,21634
78335,,0
78336,8%,9450
78338,,0
78339,10%,747
78340,24%,362
78341,5%,1970
78342,6%,344
78343,6%,3364
78344,0%,336
78349,9%,545
78351,3%,376
78352,20%,245
78353,0%,520
78355,12%,5242
78357,4%,2036
78358,5%,499
78359,9%,1330
78361,12%,4038
78362,7%,7270
78363,10%,23453
78368,8%,6967
78369,17%,373
78370,5%,3014
78371,5%,254
78372,4%,3501
78373,2%,3279
78374,4%,12105
78375,11%,2582
78376,0%,397
78377,8%,2996
78379,3%,1374
78380,8%,17757
78382,5%,16575
78383,7%,2966
78384,9%,4754
78385,0%,213
78387,8%,8140
78389,2%,1269
78390,10%,4096
78391,5%,161
78393,6%,1801
78401,13%,3997
78402,8%,624
78404,9%,13038
78405,7%,11503
78406,4%,889
78407,18%,1995
78408,12%,8009
78409,14%,2098
78410,5%,19222
78411,9%,21420
78412,5%,29314
78413,6%,29055
78414,4%,23047
78415,9%,29266
78416,9%,11368
78417,9%,3604
78418,5%,24074
78419,0%,570
78501,5%,45175
78503,8%,14846
78504,6%,35861
78516,14%,26104
78520,7%,41910
78521,8%,61381
78526,7%,29516
78535,7%,513
78536,5%,281
78537,9%,24353
78538,13%,6999
78539,8%,21638
78541,10%,28644
78542,12%,41440
78543,15%,5028
78545,24%,368
78548,26%,373
78549,9%,560
78550,4%,37572
78552,4%,26688
78557,5%,8401
78558,9%,383
78559,10%,8526
78560,5%,2829
78561,0%,480
78562,12%,1402
78563,0%,138
78564,59%,142
78565,0%,154
78566,7%,11597
78567,7%,353
78569,2%,2560
78570,13%,18511
78572,4%,49680
78573,5%,23546
78574,7%,38311
78575,7%,6335
78576,8%,5991
78577,11%,47224
78578,5%,7956
78579,10%,2997
78580,10%,11776
78582,10%,27915
78583,5%,4809
78584,6%,12471
78585,0%,348
78586,9%,37911
78588,0%,170
78589,9%,24461
78590,6%,249
78591,8%,170
78592,6%,710
78593,6%,3680
78594,0%,1643
78595,11%,4133
78596,11%,44133
78597,0%,2800
78598,0%,243
78602,5%,19589
78605,3%,3778
78606,7%,4010
78607,0%,143
78608,0%,150
78609,5%,1527
78610,6%,16643
78611,4%,10573
78612,6%,8648
78613,6%,45658
78614,6%,621
78615,3%,717
78616,7%,4699
78617,12%,12853
78618,1%,207
78619,3%,2727
78620,4%,11100
78621,5%,16140
78622,0%,118
78623,3%,605
78624,3%,17543
