Zip,Unemp. Rate,# in sample
71275,2%,1988
71276,4%,282
71277,5%,1312
71279,,0
71280,1%,2502
71282,16%,8751
71286,0%,643
71291,4%,25650
71292,6%,15566
71295,12%,11030
71301,8%,17464
71302,9%,11225
71303,6%,15620
71316,0%,102
71322,9%,5272
71323,4%,739
71325,7%,1162
71326,14%,949
71327,8%,4831
71328,4%,5881
71331,2%,537
71333,9%,676
71334,23%,7261
71336,4%,1184
71339,0%,138
71340,7%,1594
71341,3%,2609
71342,4%,6494
71343,14%,6095
71345,33%,127
71346,5%,2362
71350,7%,2770
71351,11%,8679
71353,6%,1355
71354,20%,1467
71355,13%,2529
71356,4%,633
71357,4%,2026
71358,7%,577
71360,6%,27681
71362,0%,1618
71366,3%,1293
71367,1%,1010
71368,8%,1050
71369,15%,2223
71371,3%,1274
71373,13%,5765
71375,10%,836
71377,0%,40
71378,15%,1866
71401,,0
71403,4%,3541
71404,4%,598
71405,7%,4435
71406,0%,216
71407,12%,761
71409,6%,5685
71410,0%,75
71411,15%,2073
71414,14%,117
71416,6%,758
71417,11%,3874
71418,9%,4891
71419,15%,2286
71422,5%,1162
71423,4%,3537
71424,5%,1490
71425,0%,164
71426,1%,207
71427,5%,349
71429,7%,2212
71430,9%,1809
71432,6%,817
71433,7%,2921
71435,4%,3364
71438,7%,1152
71439,9%,1496
71441,6%,399
71446,5%,17225
71447,8%,749
71449,9%,7182
71450,9%,997
71452,0%,33
71454,13%,2039
71455,75%,208
71456,9%,850
71457,9%,21856
71459,1%,7535
71461,6%,1941
71462,3%,801
71463,10%,8845
71465,8%,2171
71466,8%,295
71467,6%,6116
71468,1%,682
71469,8%,2262
71472,12%,341
71473,1%,300
71474,3%,541
71479,5%,542
71480,13%,1149
71483,8%,9397
71485,1%,1722
71486,10%,4162
71601,19%,13424
71602,9%,13985
71603,12%,27679
71630,4%,351
71631,3%,537
71635,7%,9838
71638,10%,3130
71639,11%,4816
71640,17%,2734
71642,11%,514
71643,14%,1301
71644,14%,3439
71646,12%,4938
71647,11%,1716
71651,0%,121
71652,7%,810
71653,5%,4049
71654,12%,3409
71655,11%,12057
71658,14%,588
71659,0%,73
71660,9%,786
71661,9%,417
71662,0%,81
71663,3%,498
71665,8%,4818
71666,0%,122
71667,9%,6406
71670,8%,1251
71671,6%,6767
71674,3%,884
71675,9%,1617
71676,10%,670
71677,18%,122
71701,11%,15896
71711,,10
71720,9%,2257
71722,27%,79
71724,0%,308
71725,7%,515
71726,36%,1035
71730,8%,25342
71740,8%,1476
71742,12%,4724
71743,14%,3248
71744,5%,2832
71745,9%,221
71747,8%,994
71749,7%,2074
71751,10%,739
71752,17%,811
71753,8%,13913
71758,0%,290
71759,6%,566
71762,6%,1960
71763,3%,1265
71764,12%,1729
71765,1%,1689
71766,4%,554
71770,11%,2465
71772,0%,36
71801,7%,12824
71820,0%,44
71822,6%,7196
71823,0%,48
71825,12%,623
71826,9%,920
71827,10%,709
71832,7%,8091
71833,9%,1725
71834,15%,985
71835,8%,942
71836,8%,2463
71837,7%,4787
71838,1%,768
71839,16%,310
71841,7%,684
71842,8%,1640
71845,10%,1994
71846,5%,1953
71847,0%,583
71851,10%,1969
71852,5%,7481
71853,0%,128
71854,7%,27621
71855,7%,472
71857,11%,4457
71858,16%,1655
71859,6%,407
71860,10%,2501
71861,7%,1362
71862,1%,689
71865,8%,190
71866,4%,391
71901,9%,24113
71909,6%,14341
71913,6%,35513
71921,9%,2665
71922,0%,198
71923,8%,12853
71929,15%,3640
71933,5%,1094
71935,0%,695
71937,6%,2145
71940,14%,1155
71941,4%,1883
71943,10%,3553
71944,7%,702
71945,9%,1423
71949,11%,1674
71950,5%,746
71952,0%,102
71953,4%,10780
71956,12%,1285
71957,5%,2541
71958,6%,2052
71959,19%,609
71960,3%,1370
71961,5%,929
71962,7%,807
71964,7%,3226
71965,0%,150
71968,5%,3433
71969,0%,235
71970,17%,891
71971,3%,554
71972,6%,209
71973,10%,986
71998,11%,591
71999,0%,253
72001,4%,388
72002,4%,10136
72003,1%,805
72004,7%,948
72005,0%,81
72006,14%,2274
72007,12%,4336
72010,4%,4915
72011,11%,3258
72012,6%,8933
72013,6%,1559
72014,0%,74
72015,6%,20462
72016,4%,2421
72017,6%,619
72019,4%,17616
72020,7%,3106
72021,7%,3262
72022,3%,10937
72023,5%,25038
72024,4%,3057
72025,2%,498
72026,16%,345
72027,8%,1164
72029,7%,1487
72030,3%,518
72031,10%,6107
72032,8%,23997
72034,5%,33489
72035,18%,1932
72036,11%,588
72037,0%,29
72038,,42
72039,13%,1721
72040,5%,2513
72041,1%,1056
72042,6%,4101
72044,4%,806
72045,1%,1255
72046,9%,3811
72047,4%,654
72048,0%,25
72051,5%,518
72055,2%,715
72057,5%,1126
72058,5%,11925
72059,,30
72060,5%,316
72061,0%,113
72063,6%,1353
72064,4%,1975
72065,5%,3708
72067,3%,2625
72068,6%,375
72069,23%,1866
72070,2%,1706
72072,4%,471
72073,8%,834
72074,0%,110
72076,5%,29565
72079,11%,761
72080,2%,608
72081,8%,6024
72082,10%,1505
72083,3%,187
72084,15%,1071
72085,6%,178
72086,6%,8260
72087,2%,1725
72088,10%,2335
72099,0%,498
72101,5%,2654
72102,7%,1569
72103,5%,9691
72104,9%,18144
72106,6%,4493
72107,24%,258
72108,,13
72110,11%,9662
72111,2%,1005
72112,13%,9687
72113,3%,15448
72114,16%,8583
72116,5%,17819
72117,11%,9561
72118,8%,17586
72119,0%,76
72120,4%,25019
72121,4%,2011
72122,12%,775
72123,5%,381
72125,7%,910
72126,4%,2887
72127,5%,1415
72128,8%,685
72129,6%,912
72130,0%,282
72131,8%,3593
72132,5%,2106
72134,7%,389
72135,3%,2482
72136,8%,1310
72137,12%,1893
72139,10%,170
72140,3%,203
72141,0%,581
72142,3%,2300
72143,5%,28635
72149,,0
72150,5%,9136
72152,3%,311
72153,2%,2092
72156,0%,379
72157,4%,1208
72160,6%,8566
72165,0%,30
72166,22%,219
72167,11%,1416
72168,0%,1782
72169,5%,98
72170,0%,219
72173,6%,6923
72175,16%,263
72176,6%,6410
72179,0%,231
72181,0%,45
72201,5%,996
72202,13%,8618
72204,13%,23861
72205,8%,18484
72206,10%,21245
72207,3%,7916
72209,11%,23740
72210,4%,12169
72211,4%,16810
72212,3%,10208
72223,4%,14231
72227,5%,9419
72301,13%,19171
72311,10%,141
72315,13%,17997
72320,0%,1348
72321,0%,66
72322,12%,191
72324,3%,1697
72325,0%,40
72326,11%,1567
72327,3%,985
72328,0%,19
72329,,0
72330,18%,476
72331,25%,2661
72332,29%,94
72333,24%,610
72335,11%,15843
72338,0%,93
72339,8%,87
72340,0%,79
72341,9%,336
72342,17%,3963
72346,30%,659
72347,8%,582
72348,9%,2494
72350,9%,1079
72351,15%,527
72353,0%,155
72354,22%,2046
72355,5%,2336
72358,11%,1418
72359,14%,373
72360,18%,4713
72364,7%,10744
72365,13%,2659
72366,17%,1841
72367,0%,80
72368,10%,1234
72370,12%,6511
72372,6%,1657
72373,16%,1083
72374,16%,771
72376,8%,1570
72377,0%,49
72379,30%,75
72383,,0
72384,11%,898
72386,10%,1387
72389,10%,195
72390,15%,6384
72392,1%,312
72394,14%,465
72395,7%,742
72396,7%,10534
72401,10%,42088
72404,4%,16739
72410,15%,447
72411,7%,1581
72412,17%,536
72413,6%,489
72414,1%,375
72415,9%,1073
72416,8%,4703
72417,2%,2703
72419,13%,1473
72421,7%,270
72422,12%,4138
72424,0%,63
72425,0%,268
72426,1%,142
72427,3%,175
72428,0%,59
72429,4%,340
72430,9%,301
72431,13%,309
72432,9%,4725
72433,13%,2458
72434,6%,1320
72435,5%,400
72436,14%,539
72437,6%,2533
72438,9%,1732
72440,0%,190
72441,11%,94
72442,1%,3804
72443,9%,2297
72444,6%,1515
72445,0%,69
72447,15%,1598
72449,3%,220
72450,6%,28022
72453,10%,119
72454,12%,4211
72455,6%,10151
72456,1%,447
72457,7%,109
72458,5%,576
72459,1%,1192
72460,6%,522
72461,6%,3131
72462,6%,309
72464,29%,34
72466,11%,1283
72467,11%,542
72469,6%,818
72470,12%,110
72471,7%,846
72472,12%,7298
72473,4%,2108
72476,7%,5810
72478,0%,296
72479,2%,1400
72482,11%,950
72501,6%,19041
72512,9%,2076
72513,15%,2242
72515,0%,183
72517,0%,530
72519,4%,2643
72520,0%,211
72521,7%,3784
72522,0%,408
72523,9%,885
72524,9%,317
72526,22%,73
72527,0%,652
72528,56%,24
72529,13%,4389
72530,4%,1352
72531,0%,414
72532,8%,1612
72533,3%,363
72534,6%,1213
72536,2%,237
72537,0%,503
72538,5%,349
72539,0%,93
72540,17%,64
72542,7%,3081
72543,5%,10381
72544,8%,560
72546,0%,312
72550,7%,710
72553,0%,25
72554,9%,2882
72555,0%,63
72556,8%,2527
72560,7%,7230
72561,13%,935
72562,4%,1759
72564,5%,350
72565,16%,803
72566,0%,466
72567,0%,253
72568,1%,1611
72569,9%,408
72571,0%,137
72572,9%,233
72573,0%,141
72576,12%,3331
72577,6%,672
72578,14%,257
72579,5%,854
72581,8%,809
72583,3%,804
72584,0%,401
72585,0%,71
72587,11%,217
72601,4%,24545
72611,8%,1526
72616,4%,7773
72617,11%,135
72619,13%,1726
