zip,compid,compname,comrate,indrate,resrate
27529,3046,Carolina Power & Light Co.,74.34,57.46,90.23
73112,14063,Oklahoma Gas & Electric Co. (OG&E),66.14,48.58,80.16
59037,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
28705,3046,Carolina Power & Light Co.,74.34,57.46,90.23
96134,14354,PacifiCorp.,59.39,40.36,69.43
8554,14940,PECO Energy Co.,121.2,81.88,139.07
78832,3278,AEP Texas Central Co.,0,0,0
35459,195,Alabama Power Co.,81.85,49.23,89.32
78368,3278,AEP Texas Central Co.,0,0,0
67432,22500,Westar Energy Inc.,0,0,0
24712,733,Appalachian Power Co.,52.6,36.59,58.52
72354,814,"Entergy Arkansas, Inc.",71.81,57.46,92.02
97383,14354,PacifiCorp.,59.39,40.36,69.43
63879,19436,Union Electric Co.,56.56,41.72,69.64
76849,20404,AEP Texas North Co.,0,0,0
76249,A3483,Oncor Electric Delivery Co.,0,0,0
60481,4110,Commonwealth Edison Co.,76.48,55.66,86.59
54727,13780,Northern States Power Co. Wisconsin,72.11,53.77,92.67
50466,9162,Interstate Power & Light Co.,0,0,0
31624,7140,Georgia Power Co.,76.3,54.04,88.77
24874,733,Appalachian Power Co.,52.6,36.59,58.52
17262,14711,Pennsylvania Electric Co.,78.89,58.78,90.82
59828,12825,"Clark Fork & Blackfoot, LLC",83.97,62.87,89.42
58734,12819,Montana Dakota Utilities Co.,0,0,0
29927,17539,South Carolina Electric & Gas Co.,78.48,50.81,98.64
48346,4254,Consumers Energy Co.,84.9,65.38,95.35
56243,13781,Northern States Power Co.,69.79,57.42,89.95
6484,19497,United Illuminating Co.,120.63,102.26,151.34
18415,14715,PPL Electric Utilities Corp.,88.12,63.17,94.63
27919,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
12037,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
93514,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
19138,14940,PECO Energy Co.,121.2,81.88,139.07
20747,1167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
54467,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
61425,9208,Illinois Power Co.,73.39,46.63,77.12
7901,9726,Jersey Central Power & Light Co.,121.26,113.99,126.4
28454,3046,Carolina Power & Light Co.,74.34,57.46,90.23
54945,20860,Wisconsin Public Service Corp.,76.39,46.96,108.51
2111,1998,Boston Edison Co.,193.53,199.87,201.75
32547,7801,Gulf Power Co.,79.83,61.94,94.18
74849,14063,Oklahoma Gas & Electric Co. (OG&E),66.14,48.58,80.16
15623,20387,West Penn Power Co.,61.26,47.16,71.66
84635,14354,PacifiCorp.,59.39,40.36,69.43
64465,19436,Union Electric Co.,56.56,41.72,69.64
6098,20455,Western Massachusetts Electric Co.,150.81,140.37,160.59
62642,3253,Central Illinois Public Services Co.,63.43,39.23,72.64
43612,4254,Consumers Energy Co.,84.9,65.38,95.35
42420,17633,Southern Indiana Gas & Electric Co.,71.27,51.51,89.69
12861,13573,"Niagara Mohawk, a National Grid Co.",143.48,183.05,149.78
23607,19876,Virginia Electric & Power Co.,60.58,46.11,85.53
64123,10000,Kansas City Power & Light Co.,60.27,46.48,71
63957,19436,Union Electric Co.,56.56,41.72,69.64
21057,1167,Baltimore Gas & Electric Co.,115.95,100.28,85.21
93249,14328,Pacific Gas and Electric Co.,138.5,104.03,146.13
54475,4247,Consolidated Water Power Co.,66.76,49.36,67.62
81223,15466,PSC of Colorado,74.07,58.3,88.42
31063,7140,Georgia Power Co.,76.3,54.04,88.77
53521,20856,Wisconsin Power & Light Co.,94.62,65.6,110.81
